王永学,妇科,主治医师,北京协和医院,45,2414,20,47,50,12,100,112,20,0,-1,8,3613,7126,122,
张淞文,妇科,主任医师,北京妇产医院,79,1153,6,91,-1,18,-1,27,-1,0,60,67,8915,1316,151,
刘勇,妇科,主治医师,北京妇产医院,45,1888,12,89,50,20,100,132,12,0,100,40,3165,12485,71,
沈晓燕,妇科,主治医师,北京大学人民医院,50,711,10,29,-1,0,100,56,16,0,-1,5,1537,1115,101,
吕讷男,妇科,主治医师,北京妇产医院,50,0,20,0,-1,7,-1,8,-1,0,-1,8,2,19278,0,
苏莉,妇科,副主任医师,北京妇产医院,-1,2636,16,10,50,16,-1,33,-1,0,10,130,7408,2249,61,
俞梅,妇科,主治医师,北京协和医院,50,66,-1,0,-1,0,-1,27,-1,0,-1,7,134,434,5,
周琦,妇科,主任医师,北京妇产医院,-1,82,26,5,50,14,-1,45,-1,0,-1,5,215,2864,0,
孙立红,妇科,副主任医师,北京妇产医院,-1,73,6,0,50,19,-1,17,-1,0,-1,7,65,1239,0,
黄亮,妇科,主治医师,北京妇产医院,-1,98,4,2,50,6,-1,26,-1,0,-1,6,35,5263,1,
王慧,妇科,副主任医师,安贞医院,-6,1149,4,13,-1,0,-1,24,-1,0,-1,4,1002,3224,7,
侯彩英,妇科,主治医师,中国人民解放军第二炮兵总医院,12,715,4,16,-1,0,100,88,-1,0,-1,2,510,2342,65,
李晟辉,妇科,主治医师,北京妇产医院,-1,117,4,9,50,10,-1,19,-1,0,-1,9,371,5369,1,
马晓黎,妇科,主治医师,北京妇产医院,-1,0,-1,0,50,5,-1,64,-1,0,-1,4,23,536,0,
王小新,妇科,主治医师,北京妇产医院,-1,69,-1,2,50,16,-1,37,-1,0,-1,7,67,1144,0,
康康,妇科,医师,北京大学第三医院,18,453,6,2,300,12,60,1,-1,0,20,8,656,1267,23,
张素云,妇科,副主任医师,北京妇产医院,-1,0,-1,0,50,9,-1,57,-1,0,-1,7,1,902,1,
刘静,妇科,主治医师,北京妇产医院,-1,38,-1,1,50,6,-1,38,-1,0,-1,8,16,358,0,
佟宝莉,妇科,主治医师,北京大学人民医院,12,416,-1,0,-1,0,-1,9,-1,0,-1,9,70,647,13,
种轶文,妇科,主治医师,北京大学第三医院,-1,97,10,2,100,18,60,6,-1,0,100,13,320,367,9,
